"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"1239",13.37,15.908475,23,"16",1,1,1,163434.710743802,120.977525,24.816353,"新竹市新竹巿田美三街48巷1~30號","15~20W",1
"1261",26.68,43.79595,2,"11",1,1,1,123517.355371901,120.939528,24.797166,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",2
"1264",29.13,48.396975,2,"11",1,1,1,121494.214876033,120.939489,24.797202,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",3
"1280",11.08,34.209725,20,"12",0,1,1,105233.05785124,120.959893,24.797101,"新竹市新竹巿中華路三段121~150號","10~15W",4
"1308",38.96,97.03595,4,"14",1,1,1,252482.644628099,120.969306,24.810032,"新竹市新竹巿北大路91~120號",">25W",5
"1344",27.95,49.852,2,"11",2,1,1,129173.553719008,120.939281,24.797392,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",6
"1345",26.68,43.79595,2,"11",1,1,1,113702.479338843,120.93934,24.797338,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",7
"1346",28.88,47.186975,2,"11",1,1,1,129907.438016529,120.939479,24.797211,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",8
"1347",28.71,46.321825,2,"11",1,1,1,125428.099173554,120.939499,24.797202,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",9
"1348",26.85,44.20735,2,"11",1,1,1,128023.140495868,120.939281,24.797392,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",10
"1349",35.8,57.211825,2,"11",1,1,1,121123.966942149,120.939558,24.797139,"新竹市新竹巿牛埔南路142巷33弄1~30號","10~15W",11
"1360",18.83,54.11725,6,"15",1,1,1,129348.760330579,120.951733,24.799076,"新竹市新竹巿牛埔東路1~30號","10~15W",12
"1408",26.9,29.55425,NA,"11",0,1,1,39249.5867768595,120.919312,24.719609,"新竹市新竹巿中華路六段799巷8弄1~30號","<10W",13
"1409",8.04,21.631775,16,"22",0,1,1,152552.066115702,120.967334,24.821805,"新竹市新竹巿武陵路175巷1~30號","15~20W",14
"1417",5.64,18.800375,25,"12",0,0,1,691474.380165289,120.967676,24.800931,"新竹市林森路61~90號",">25W",15
"1418",14.49,43.575125,7,"13",1,1,1,174423.140495868,120.953463,24.799853,"新竹市新竹巿經國路三段1~30號","15~20W",16
"1419",25.44,27.83605,NA,"11",0,0,1,55682.6446280992,120.919174,24.719736,"新竹市新竹巿中華路六段799巷8弄1~30號","<10W",17
"1426",13.26,67.654125,20,"22",1,1,1,174416.52892562,120.989318,24.799914,"新竹市新竹巿綠水里光復路二段301~330號","15~20W",18
"1440",10.25,21.244575,16,"21",0,0,1,169454.545454545,120.968907,24.8213,"新竹市新竹巿武陵路175巷1~30號","15~20W",19
"1442",14.64,56.068375,2,"20",1,1,1,272525.619834711,120.97364,24.80495,"新竹市新竹巿東門街34巷1~30號",">25W",20
"1443",31.71,83.480925,2,"21",2,1,1,213223.140495868,121.015844,24.792248,"新竹市新竹巿慈濟路241~270號","20~25W",21
"1444",20.99,41.7934,1,"14",0,1,1,196680.991735537,121.011789,24.789161,"新竹市新竹巿光復路一段544巷121~150號","15~20W",22
"1445",20.99,41.7934,1,"14",0,1,1,206971.900826446,121.011868,24.789097,"新竹市新竹巿光復路一段544巷121~150號","20~25W",23
"1446",20.64,41.705675,1,"14",0,1,1,206208.26446281,121.011987,24.78898,"新竹市新竹巿光復路一段544巷91~120號","20~25W",24
"1447",20.99,41.7934,1,"14",0,1,1,208165.289256198,121.011769,24.789179,"新竹市新竹巿光復路一段544巷121~150號","20~25W",25
"1448",20.64,41.705675,1,"14",0,1,1,187024.79338843,121.012095,24.78889,"新竹市新竹巿光復路一段544巷91~120號","15~20W",26
"1449",20.64,41.705675,1,"14",0,1,1,194218.181818182,121.011908,24.789052,"新竹市新竹巿光復路一段544巷91~120號","15~20W",27
"1450",20.99,41.7934,1,"14",0,1,1,212952.066115702,121.012056,24.788917,"新竹市新竹巿光復路一段544巷121~150號","20~25W",28
"1451",14.66,49.050375,13,"14",0,1,1,203871.074380165,120.978961,24.802919,"新竹市新竹巿公園路271~300號","20~25W",29
"1452",20.64,41.705675,1,"14",0,1,1,208604.958677686,121.012006,24.788962,"新竹市新竹巿光復路一段544巷91~120號","20~25W",30
"1453",20.64,41.705675,1,"14",0,1,1,206208.26446281,121.012026,24.788944,"新竹市新竹巿光復路一段544巷91~120號","20~25W",31
"1454",22.74,45.8106,1,"14",0,1,1,189256.198347107,121.011759,24.789188,"新竹市新竹巿光復路一段544巷91~120號","15~20W",32
"1455",22.74,45.892275,1,"14",0,1,1,217900.826446281,121.012115,24.788863,"新竹市新竹巿光復路一段544巷121~150號","20~25W",33
"1456",22.74,45.892275,1,"14",0,1,1,193933.884297521,121.012006,24.788971,"新竹市新竹巿光復路一段544巷121~150號","15~20W",34
"1457",22.74,45.892275,1,"14",0,1,1,198509.090909091,121.011828,24.789133,"新竹市新竹巿光復路一段544巷121~150號","15~20W",35
"1458",22.74,45.892275,1,"14",0,1,1,207004.958677686,121.011937,24.789025,"新竹市新竹巿光復路一段544巷121~150號","20~25W",36
"1459",22.74,45.892275,1,"14",0,1,1,204826.446280992,121.011789,24.789161,"新竹市新竹巿光復路一段544巷121~150號","20~25W",37
"1460",22.74,45.892275,1,"14",0,1,1,220079.338842975,121.012095,24.788881,"新竹市新竹巿光復路一段544巷121~150號","20~25W",38
"1461",22.39,45.36895,1,"14",0,1,1,187352.066115702,121.011799,24.789151,"新竹市新竹巿光復路一段544巷121~150號","15~20W",39
"1462",22.39,45.36895,1,"14",0,1,1,202783.47107438,121.011799,24.789151,"新竹市新竹巿光復路一段544巷121~150號","20~25W",40
"1463",22.39,45.378025,1,"14",0,1,1,186876.033057851,121.011937,24.789025,"新竹市新竹巿光復路一段544巷121~150號","15~20W",41
"1464",22.39,45.378025,1,"14",0,1,1,188416.52892562,121.011828,24.789124,"新竹市新竹巿光復路一段544巷121~150號","15~20W",42
"1465",22.39,45.378025,1,"14",0,1,1,193927.272727273,121.011908,24.789052,"新竹市新竹巿光復路一段544巷121~150號","15~20W",43
"1466",22.39,45.378025,1,"14",0,1,1,209352.066115702,121.011977,24.788989,"新竹市新竹巿光復路一段544巷121~150號","20~25W",44
"1467",20.99,41.7934,1,"14",0,1,1,217738.842975207,121.011799,24.789151,"新竹市新竹巿光復路一段544巷121~150號","20~25W",45
"1468",20.99,41.7934,1,"14",0,1,1,186631.404958678,121.011997,24.78898,"新竹市新竹巿光復路一段544巷121~150號","15~20W",46
"1469",20.99,41.7934,1,"14",0,1,1,193811.570247934,121.011967,24.788998,"新竹市新竹巿光復路一段544巷121~150號","15~20W",47
"1470",20.99,41.7934,1,"14",0,1,1,190938.842975207,121.011878,24.789079,"新竹市新竹巿光復路一段544巷121~150號","15~20W",48
"1471",20.99,41.7934,1,"14",0,1,1,191897.520661157,121.012006,24.788962,"新竹市新竹巿光復路一段544巷121~150號","15~20W",49
"1472",20.99,41.7934,1,"14",0,1,1,193811.570247934,121.011947,24.789016,"新竹市新竹巿光復路一段544巷121~150號","15~20W",50
"1473",22.74,45.892275,1,"14",0,1,1,197200,121.012086,24.78889,"新竹市新竹巿光復路一段544巷121~150號","15~20W",51
